ITM_NAME,DSCR,TYPE,FILE_NAME,,Updated Version 1,Updated Version 2,Combined
NP1COG,COGNITIVE IMPAIRMENT,Self Report,MDS-UPDRS_Part_I_24May2024.csv,,Self Report,Non Motor,All of the above
NP1HALL,HALLUCINATIONS AND PSYCHOSIS,Self Report,MDS-UPDRS_Part_I_24May2024.csv,,Self Report,Non Motor,
NP1DPRS,DEPRESSED MOODS,Self Report,MDS-UPDRS_Part_I_24May2024.csv,,Self Report,Non Motor,
NP1ANXS,ANXIOUS MOOD,Self Report,MDS-UPDRS_Part_I_24May2024.csv,,Self Report,Non Motor,
NP1APAT,APATHY,Self Report,MDS-UPDRS_Part_I_24May2024.csv,,Self Report,Non Motor,
NP1DDS,FEATURES-DOPAMINE DYSREGULATION SYNDROME,Self Report,MDS-UPDRS_Part_I_24May2024.csv,,Self Report,Non Motor,
NP1SLPN,SLEEP PROBLEMS (NIGHT),Self Report,MDS-UPDRS_Part_I_Patient_Questionnaire_24May2024.csv,,Self Report,Non Motor,
NP1SLPD,DAYTIME SLEEPINESS,Self Report,MDS-UPDRS_Part_I_Patient_Questionnaire_24May2024.csv,,Self Report,Non Motor,
NP1PAIN,PAIN AND OTHER SENSATIONS,Self Report,MDS-UPDRS_Part_I_Patient_Questionnaire_24May2024.csv,,Self Report,Non Motor,
NP1URIN,URINARY PROBLEMS,Self Report,MDS-UPDRS_Part_I_Patient_Questionnaire_24May2024.csv,,Self Report,Non Motor,
NP1CNST,CONSTIPATION PROBLEMS,Self Report,MDS-UPDRS_Part_I_Patient_Questionnaire_24May2024.csv,,Self Report,Non Motor,
NP1LTHD,LIGHTHEADEDNESS ON STANDING,Self Report,MDS-UPDRS_Part_I_Patient_Questionnaire_24May2024.csv,,Self Report,Non Motor,
NP1FATG,FATIGUE,Self Report,MDS-UPDRS_Part_I_Patient_Questionnaire_24May2024.csv,,Self Report,Non Motor,
NP2SPCH,SPEECH,Self Report,MDS_UPDRS_Part_II__Patient_Questionnaire_24May2024.csv,,Self Report,Non Motor,
NP2SALV,SALIVA + DROOLING,Self Report,MDS_UPDRS_Part_II__Patient_Questionnaire_24May2024.csv,,Self Report,Non Motor,
NP2SWAL,CHEWING AND SWALLOWING,Self Report,MDS_UPDRS_Part_II__Patient_Questionnaire_24May2024.csv,,Self Report,Non Motor,
NP2EAT,EATING TASKS,Self Report,MDS_UPDRS_Part_II__Patient_Questionnaire_24May2024.csv,,Self Report,Motor,
NP2DRES,DRESSING,Self Report,MDS_UPDRS_Part_II__Patient_Questionnaire_24May2024.csv,,Self Report,Motor,
NP2HYGN,HYGIENE,Self Report,MDS_UPDRS_Part_II__Patient_Questionnaire_24May2024.csv,,Self Report,Motor,
