feature,weight,type_OS,type_MN
MSEADLG,3.5235503033056075,Self Report,Non Motor
SCAU13,1.4928169202345258,Self Report,Non Motor
NP3KTRMR,1.2939559716622901,Objective,Motor
NP1PAIN,1.2759654188109046,Self Report,Non Motor
NP1COG,1.1696261947979,Self Report,Non Motor
NP3RISNG,1.1374048618091852,Objective,Motor
NP1LTHD,1.0873537702817297,Self Report,Non Motor
NP3KTRML,1.0736138082703455,Objective,Motor
NP3PTRMR,0.9753967362325291,Objective,Motor
NP3POSTR,0.8244227812343581,Objective,Motor
COGDXCL,0.7709842768928962,Self Report,Non Motor
SCAU7,0.7276209213629083,Self Report,Non Motor
SLPINJUR,0.6500003825680909,Self Report,Non Motor
NP1APAT,0.6313932210377655,Self Report,Non Motor
NP2RISE,0.6267714013867037,Self Report,Motor
SCAU10,0.5963621669093853,Self Report,Non Motor
HVLTRT3,0.5826204521647684,Objective,Non Motor
FNCDTCOG,0.5460169708151706,Self Report,Non Motor
NP1ANXS,0.5140435521353441,Self Report,Non Motor
MCACAMEL,0.5112763265215617,Objective,Non Motor
HVLTFPUN,0.5033744072712851,Objective,Non Motor
SCAU5,0.4648705648669891,Self Report,Non Motor
SCAU26C,0.4421443289367515,Self Report,Non Motor
STAIAD40,0.4273356953458515,Self Report,Non Motor
STAIAD7,0.40226842684765424,Self Report,Non Motor
