feature,weight,type_OS,type_MN
LNS1B,0.33324717385118857,Objective,Non Motor
CNTRLGMB,0.24696696960144449,Self Report,Non Motor
NP3KTRML,0.24664869273052203,Objective,Motor
SLPINJUR,0.2290076756928614,Self Report,Non Motor
SCAU7,0.2269128998529936,Self Report,Non Motor
TMTRWD,0.22365607447255326,Self Report,Non Motor
NP1SLPD,0.22219254587468368,Self Report,Non Motor
FNCDTCOG,0.2202987651636168,Self Report,Non Motor
SCAU26C,0.20509283024735608,Self Report,Non Motor
DRMNOCTB,0.18683123588815648,Self Report,Non Motor
STAIAD2,0.1674146300195047,Self Report,Non Motor
NP1LTHD,0.1669636312743277,Self Report,Non Motor
GDSHAPPY,0.16667384315804584,Self Report,Non Motor
SCAU5,0.15294006033276641,Self Report,Non Motor
GDSSATIS,0.1497474043168949,Self Report,Non Motor
NP1COG,0.14505253076511135,Self Report,Non Motor
STAIAD38,0.13729187879115262,Self Report,Non Motor
NP1APAT,0.1348643440093709,Self Report,Non Motor
NP2RISE,0.13102275515458867,Self Report,Motor
NP1ANXS,0.1286921409270072,Self Report,Non Motor
NP3PTRMR,0.12740598812252218,Objective,Motor
STAIAD7,0.12232289442960038,Self Report,Non Motor
STAIAD32,0.11568305111923058,Self Report,Non Motor
LNS2B,0.11290261922254799,Objective,Non Motor
GDSWRTLS,0.10743795375957614,Self Report,Non Motor
